72,74.6,Jerami Grant,PF,POR,65,34.0,"0.466

(6.7/14.3)","0.817

(4.2/5.2)",2.1,19.6,4.4,2.4,0.9,0.9,1.8,2.68
73,95.0,Markelle Fultz,"PG,SG",ORL,60,29.6,"0.506

(6.0/11.9)","0.790

(1.9/2.4)",0.4,14.4,4.0,6.2,1.5,0.4,2.5,2.63
74,80.3,Terry Rozier,"PG,SG",CHA,68,33.2,"0.430

(7.3/16.9)","0.827

(2.4/2.8)",2.8,19.6,4.1,4.6,1.2,0.3,1.7,2.61
75,64.4,Rudy Gobert,C,MIN,68,30.6,"0.685

(5.0/7.2)","0.669

(3.6/5.4)",0.0,13.5,11.5,1.1,0.7,1.4,1.7,2.61
76,80.2,Khris Middleton,"SF,PF",MIL,59,30.0,"0.447

(6.1/13.6)","0.897

(3.0/3.3)",2.0,17.0,4.8,4.0,1.1,0.3,2.3,2.61
77,50.2,Scottie Barnes,"SF,PF",TOR,76,33.2,"0.473

(6.0/12.6)","0.776

(2.3/2.9)",0.8,15.0,6.9,5.1,1.1,0.8,1.9,2.59
78,59.3,Josh Giddey,"SG,SF,PF",OKC,74,31.9,"0.478

(7.5/15.7)","0.723

(1.3/1.8)",1.1,17.3,8.1,6.5,0.9,0.4,3.0,2.47
79,78.1,Klay Thompson,"SG,SF",GS,68,32.4,"0.434

(7.7/17.8)","0.888

(1.6/1.8)",4.2,21.2,4.0,2.4,0.6,0.5,1.6,2.46
80,81.1,Tyus Jones,PG,WAS,72,30.0,"0.443

(5.2/11.7)","0.805

(1.2/1.5)",1.9,13.5,3.5,7.4,1.4,0.1,1.1,2.37
81,82.1,Jakob Poeltl,C,TOR,70,27.7,"0.624

(5.8/9.3)","0.550

(1.5/2.8)",0.0,13.1,9.3,2.8,0.8,1.4,1.7,2.23
82,100.0,D'Angelo Russell,"PG,SG",LAL,70,30.2,"0.440

(5.9/13.3)","0.826

(2.6/3.2)",2.6,16.9,3.0,6.2,0.9,0.4,2.4,2.11
83,82.4,Kyle Kuzma,"SF,PF",WAS,65,35.1,"0.445

(8.3/18.6)","0.723

(2.9/4.0)",2.6,22.1,8.1,3.8,0.7,0.8,3.2,2.10
84,76.6,Clint Capela,C,ATL,68,26.3,"0.631

(5.1/8.0)","0.573

(1.2/2.1)",0.0,11.4,11.2,1.1,0.7,1.2,0.7,2.07
85,89.2,Austin Reaves,"SG,SF",LAL,71,32.6,"0.501

(5.0/10.0)","0.856

(3.9/4.5)",1.6,15.4,3.3,3.8,0.7,0.5,1.6,2.03
86,82.1,CJ McCollum,"PG,SG",NO,72,34.7,"0.448

(7.8/17.5)","0.732

(2.1/2.8)",2.7,20.5,4.2,5.2,1.0,0.4,2.2,2.00
87,112.7,Zach Collins,"PF,C",SA,66,27.7,"0.507

(5.0/9.9)","0.772

(2.2/2.9)",1.0,13.2,7.4,3.4,0.7,1.0,2.5,1.95
88,103.0,John Collins,PF,UTA,70,30.0,"0.517

(5.6/10.8)","0.798

(2.2/2.8)",1.1,14.4,7.1,1.5,0.6,1.0,1.1,1.90
89,72.5,Chris Paul,PG,GS,60,26.8,"0.438

(4.1/9.4)","0.835

(2.0/2.4)",1.3,11.6,3.6,7.5,1.2,0.3,1.8,1.85
90,120.0,De'Anthony Melton,"PG,SG",PHI,72,26.9,"0.427

(4.0/9.4)","0.781

(1.1/1.5)",2.1,11.3,4.6,2.8,1.7,0.6,1.5,1.84
91,90.8,Tobias Harris,"SF,PF",PHI,73,32.9,"0.490

(5.9/12.1)","0.856

(1.8/2.2)",1.5,15.2,6.0,2.8,0.8,0.5,1.3,1.82
92,96.0,Jonas Valanciunas,C,NO,74,25.4,"0.546

(5.7/10.5)","0.820

(2.1/2.5)",0.6,14.1,9.9,2.0,0.4,0.7,2.0,1.78
93,84.0,Derrick White,"PG,SG",BOS,77,29.1,"0.451

(4.5/9.9)","0.870

(2.4/2.8)",1.7,13.0,3.6,4.0,0.8,0.9,1.4,1.77
94,91.3,Robert Williams III,C,POR,61,23.4,"0.708

(3.5/4.9)","0.649

(0.7/1.1)",0.0,7.6,7.7,2.1,0.6,1.4,0.9,1.77
95,115.5,Trey Murphy III,"SF,PF",NO,60,30.0,"0.461

(4.6/9.9)","0.896

(2.0/2.2)",2.5,13.6,3.9,1.4,1.0,0.5,0.7,1.68
96,130.3,P.J. Washington,PF,CHA,72,31.2,"0.452

(5.3/11.8)","0.729

(1.5/2.0)",2.0,14.1,5.4,2.5,1.0,1.1,1.5,1.67
97,95.4,Draymond Green,"PF,C",GS,55,31.3,"0.527

(3.4/6.4)","0.688

(1.2/1.7)",0.5,8.4,7.5,6.0,1.0,0.7,3.0,1.55
98,83.2,Michael Porter Jr.,SF,DEN,65,30.2,"0.472

(6.4/13.6)","0.780

(1.5/1.9)",2.9,17.3,5.9,1.2,0.7,0.5,1.2,1.50
99,94.1,Jabari Smith Jr.,"PF,C",HOU,79,32.2,"0.438

(5.9/13.6)","0.788

(2.5/3.2)",1.7,16.1,8.0,1.4,0.6,1.2,1.5,1.48
100,98.1,Mitchell Robinson,C,NY,68,26.9,"0.711

(3.6/5.0)","0.485

(1.2/2.4)",0.0,8.3,9.3,0.7,0.9,1.9,0.8,1.46
101,58.0,Paolo Banchero,"SF,PF",ORL,72,34.0,"0.443

(7.3/16.5)","0.752

(5.6/7.5)",1.3,21.5,7.5,4.0,1.0,0.7,2.8,1.44
102,100.1,Miles Bridges,"SF,PF",CHA,40,28.4,"0.484

(5.8/11.9)","0.799

(2.6/3.3)",1.5,15.7,5.5,3.0,0.7,0.7,1.5,1.42
